variable,coefficient,std_err,pvalue,ci_low,ci_high
Intercept,0.024455225,0.012131851,0.043822274,0.000677234,0.048233216
C(sector)[T.Consumer Discretionary],0.011124067,0.008251859,0.17763651,-0.005049279,0.027297414
C(sector)[T.Consumer Staples],-0.066474172,0.008044131,1.41E-16,-0.082240378,-0.050707965
C(sector)[T.Energy],0.041909123,0.009713161,1.60E-05,0.022871676,0.060946569
C(sector)[T.Financials],-0.020318903,0.007122287,0.00433274,-0.034278329,-0.006359477
C(sector)[T.Health Care],-0.033078831,0.007377206,7.33E-06,-0.047537889,-0.018619772
C(sector)[T.Industrials],-0.031921515,0.007068228,6.30E-06,-0.045774988,-0.018068042
C(sector)[T.Information Technology],0.006392054,0.007524312,0.395591974,-0.008355327,0.021139435
C(sector)[T.Materials],-0.01164214,0.008010542,0.146125947,-0.027342513,0.004058234
C(sector)[T.Real Estate],-0.02013569,0.008100165,0.012924716,-0.036011721,-0.004259658
C(sector)[T.Utilities],-0.045806771,0.008728767,1.54E-07,-0.062914841,-0.028698701
C(quarter)[T.2018Q2],0.029882321,0.004976795,1.92E-09,0.020127982,0.03963666
C(quarter)[T.2018Q3],0.088209961,0.006985576,1.49E-36,0.074518484,0.101901438
C(quarter)[T.2018Q4],-0.000241827,0.004919997,0.960798319,-0.009884844,0.00940119
C(quarter)[T.2019Q1],0.062330312,0.005257089,1.99E-32,0.052026606,0.072634018
C(quarter)[T.2019Q2],0.097792101,0.005242988,1.22E-77,0.087516033,0.108068169
C(quarter)[T.2019Q3],0.037933088,0.005096593,9.85E-14,0.02794395,0.047922226
C(quarter)[T.2019Q4],0.27591003,0.01702685,4.69E-59,0.242538018,0.309282043
C(quarter)[T.2020Q1],-0.029501845,0.015727843,0.060686619,-0.060327852,0.001324161
C(quarter)[T.2020Q2],-0.069743023,0.012873572,6.04E-08,-0.094974761,-0.044511286
C(quarter)[T.2020Q3],0.102200677,0.01175616,3.52E-18,0.079159027,0.125242328
C(quarter)[T.2020Q4],0.068712944,0.008711148,3.07E-15,0.051639407,0.085786481
C(quarter)[T.2021Q1],0.029134502,0.005613382,2.10E-07,0.018132475,0.040136529
C(quarter)[T.2021Q2],0.025818671,0.005351475,1.40E-06,0.015329972,0.03630737
C(quarter)[T.2021Q3],0.077979631,0.005627029,1.14E-43,0.066950857,0.089008406
C(quarter)[T.2021Q4],0.081972614,0.00778065,5.93E-26,0.06672282,0.097222407
C(quarter)[T.2022Q1],0.091048307,0.008418514,2.92E-27,0.074548323,0.107548291
C(quarter)[T.2022Q2],0.006295962,0.007535096,0.40340717,-0.008472555,0.02106448
C(quarter)[T.2022Q3],0.067244478,0.00860592,5.55E-15,0.050377184,0.084111772
C(quarter)[T.2022Q4],0.028303036,0.008921363,0.001511319,0.010817486,0.045788586
C(quarter)[T.2023Q1],0.042660413,0.011526705,0.000214746,0.020068487,0.065252339
C(quarter)[T.2023Q2],0.048400313,0.007681388,2.96E-10,0.033345069,0.063455556
C(quarter)[T.2023Q3],0.046999446,0.00527297,4.95E-19,0.036664615,0.057334276
C(quarter)[T.2023Q4],0.05168005,0.005716778,1.57E-19,0.040475371,0.06288473
C(quarter)[T.2024Q1],0.041463961,0.006665629,4.95E-10,0.028399568,0.054528354
C(quarter)[T.2024Q2],0.057696947,0.008807891,5.73E-11,0.040433798,0.074960097
C(quarter)[T.2024Q3],0.081810269,0.006624683,4.91E-35,0.06882613,0.094794409
C(quarter)[T.2024Q4],0.013960036,0.022395951,0.533068636,-0.029935222,0.057855293
C(quarter)[T.2025Q1],0.03357168,0.012189661,0.005885178,0.009680384,0.057462976
C(quarter)[T.2025Q2],0.041041742,0.019079058,0.03146508,0.003647476,0.078436008
cautious_share,0.0006951,0.010150027,0.945401501,-0.019198588,0.020588787
rv_hist,0.426499926,0.019151171,7.19E-110,0.388964321,0.464035531
vix,0.003997046,0.000508186,3.68E-15,0.003001019,0.004993072
covid,0.081518912,0.01297088,3.28E-10,0.056096454,0.10694137
rate_hike,0.025903342,0.006407179,5.28E-05,0.013345503,0.038461182
